dataX,dataY,measurementX,measurementY,predictionX,predictionY
0,0,0,0,0,0
0.3866265631568943,0.2806627037836437,0.31716787137267377,-0.05445574586941199,0.30061313826330976,0.28734086621894955
0.8150973761238819,0.5795265538223726,0.8198206608157592,0.721197454098707,0.6503463724880997,0.6025314328973639
1.1389222241288663,0.9132033277378887,0.6517281872963718,1.4888714117683874,0.8406285815489972,1.1633949674483297
1.5702652902526018,1.169473321652774,1.6671373824349178,1.2405157781548983,1.401980103627228,1.4102585641474314
2.049777217484434,1.4439202203751529,2.3647758375751993,1.3712446793466135,2.1070243572983376,1.5492336744694666
2.4825881845134012,1.8000234236892982,2.769769639470334,2.6014641964636764,2.7032223802023783,2.251053075945341
2.971631861999259,1.975250327312032,2.7870573873547655,1.5724218164435355,2.9940268938016597,2.0726413557949166
3.447219266009266,2.007136428341046,3.2881764535340365,1.8561074774415036,3.3557134481073922,2.0399212221187972
4.058396162561746,2.1871116551306744,4.096639738072413,2.256024248216048,3.95090356024677,2.206908626954045
